(.venv_cuda) PS F:\169\DEEPFAKE-Detection> python .\training\Appreanch\150_appreanch_train.py
======================================================================
APPEARANCE BRANCH - 150 SOURCE GROUP TEST
======================================================================
Device                : cuda
Batch Size            : 8
Gradient Accumulation : 2
Effective Batch Size  : 16
Epochs                : 3
Train CSV             : data/split/test_150/train.csv
Validation CSV        : data/split/test_150/val.csv
Checkpoint Directory  : checkpoints/appearance_test_150
======================================================================

Training samples      : 45,652
Validation samples    : 11,067
Loading weights: 100%|███████████████████████████████████████████████████████████████████████████████████████████████| 173/173 [00:00<00:00, 13880.19it/s]
Trainable Parameters  : 525,571

======================================================================
STARTING 150-SOURCE-GROUP TEST TRAINING
======================================================================

F:\169\.venv_cuda\Lib\site-packages\torch\utils\data\dataloader.py:1102: UserWarning: pin_memory_device is deprecated, the current accelerator will be used as the device,ignore pin_memory_device='cuda'.
  super().__init__(loader)
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Step 2920/5707   Loss: 0.2418
Step 2940/5707   Loss: 0.2413
Step 2960/5707   Loss: 0.2412
Step 2980/5707   Loss: 0.2409
Step 3000/5707   Loss: 0.2403
Step 3020/5707   Loss: 0.2404
Step 3040/5707   Loss: 0.2402
Step 3060/5707   Loss: 0.2396
Step 3080/5707   Loss: 0.2394
Step 3100/5707   Loss: 0.2388
Step 3120/5707   Loss: 0.2382
Step 3140/5707   Loss: 0.2381
Step 3160/5707   Loss: 0.2379
Step 3180/5707   Loss: 0.2376
Step 3200/5707   Loss: 0.2370
Step 3220/5707   Loss: 0.2367
Step 3240/5707   Loss: 0.2364
Step 3260/5707   Loss: 0.2361
Step 3280/5707   Loss: 0.2357
Step 3300/5707   Loss: 0.2351
Step 3320/5707   Loss: 0.2345
Step 3340/5707   Loss: 0.2343
Step 3360/5707   Loss: 0.2342
Step 3380/5707   Loss: 0.2340
Step 3400/5707   Loss: 0.2338
Step 3420/5707   Loss: 0.2335
Step 3440/5707   Loss: 0.2330
Step 3460/5707   Loss: 0.2326
Step 3480/5707   Loss: 0.2320
Step 3500/5707   Loss: 0.2317
Step 3520/5707   Loss: 0.2313
Step 3540/5707   Loss: 0.2307
Step 3560/5707   Loss: 0.2303
Step 3580/5707   Loss: 0.2299
Step 3600/5707   Loss: 0.2299
Step 3620/5707   Loss: 0.2294
Step 3640/5707   Loss: 0.2291
Step 3660/5707   Loss: 0.2288
Step 3680/5707   Loss: 0.2285
Step 3700/5707   Loss: 0.2283
Step 3720/5707   Loss: 0.2280
Step 3740/5707   Loss: 0.2277
Step 3760/5707   Loss: 0.2272
Step 3780/5707   Loss: 0.2270
Step 3800/5707   Loss: 0.2268
Step 3820/5707   Loss: 0.2265
Step 3840/5707   Loss: 0.2260
Step 3860/5707   Loss: 0.2257
Step 3880/5707   Loss: 0.2255
Step 3900/5707   Loss: 0.2249
Step 3920/5707   Loss: 0.2247
Step 3940/5707   Loss: 0.2246
Step 3960/5707   Loss: 0.2248
Step 3980/5707   Loss: 0.2245
Step 4000/5707   Loss: 0.2241
Step 4020/5707   Loss: 0.2238
Step 4040/5707   Loss: 0.2233
Step 4060/5707   Loss: 0.2232
Step 4080/5707   Loss: 0.2230
Step 4100/5707   Loss: 0.2226
Step 4120/5707   Loss: 0.2220
Step 4140/5707   Loss: 0.2219
Step 4160/5707   Loss: 0.2215
Step 4180/5707   Loss: 0.2210
Step 4200/5707   Loss: 0.2209
Step 4220/5707   Loss: 0.2204
Step 4240/5707   Loss: 0.2200
Step 4260/5707   Loss: 0.2195
Step 4280/5707   Loss: 0.2195
Step 4300/5707   Loss: 0.2191
Step 4320/5707   Loss: 0.2188
Step 4340/5707   Loss: 0.2185
Step 4360/5707   Loss: 0.2183
Step 4380/5707   Loss: 0.2182
Step 4400/5707   Loss: 0.2181
Step 4420/5707   Loss: 0.2177
Step 4440/5707   Loss: 0.2174
Step 4460/5707   Loss: 0.2173
Step 4480/5707   Loss: 0.2169
Step 4500/5707   Loss: 0.2167
Step 4520/5707   Loss: 0.2169
Step 4540/5707   Loss: 0.2163
Step 4560/5707   Loss: 0.2160
Step 4580/5707   Loss: 0.2160
Step 4600/5707   Loss: 0.2157
Step 4620/5707   Loss: 0.2156
Step 4640/5707   Loss: 0.2153
Step 4660/5707   Loss: 0.2151
Step 4680/5707   Loss: 0.2149
Step 4700/5707   Loss: 0.2148
Step 4720/5707   Loss: 0.2145
Step 4740/5707   Loss: 0.2145
Step 4760/5707   Loss: 0.2144
